date,action,price,size,cost,indicators,profit
2024-10-11 10:25:00,BUY,278.25,35,9738.75,{'RSI_5m': 68.46819601460432},
2024-10-14 12:17:00,SELL,280.85,35,,{'RSI_5m': 36.7722674188674},91.0
2024-10-15 09:15:00,BUY,280.0,35,9800.0,{'RSI_5m': 99.99996464624049},
2024-10-15 09:20:00,SELL,278.55,35,,{'RSI_5m': 31.7051261241307},-50.75
2024-10-15 09:21:00,BUY,278.95,35,9763.25,{'RSI_5m': 99.99982165061648},
2024-10-15 11:43:00,SELL,278.6,35,,{'RSI_5m': 38.32600650208356},-12.25
2024-10-15 13:54:00,BUY,278.85,35,9759.75,{'RSI_5m': 60.98373578442514},
2024-10-16 09:15:00,SELL,278.4,35,,{'RSI_5m': 2.5315397399406033e-05},-15.75
2024-10-17 12:36:00,BUY,271.35,36,9768.6,{'RSI_5m': 60.42160555710081},
2024-10-17 15:02:00,SELL,271.6,36,,{'RSI_5m': 39.79786308365227},9.0
2024-10-21 09:15:00,BUY,261.9,38,9952.2,{'RSI_5m': 100.0},
2024-10-21 09:58:00,SELL,257.65,38,,{'RSI_5m': 39.10861753033104},-161.5
2024-10-21 13:39:00,BUY,258.9,38,9838.2,{'RSI_5m': 65.03087391448693},
2024-10-21 15:17:00,SELL,266.8,38,,{'RSI_5m': 75.83819096743206},300.2
2024-10-21 15:18:00,BUY,266.75,37,9869.75,{'RSI_5m': 75.71438003043042},
2024-10-22 10:16:00,SELL,264.75,37,,{'RSI_5m': 33.39709137194365},-74.0
2024-10-23 10:01:00,BUY,259.55,38,9862.9,{'RSI_5m': 63.33394956778663},
2024-10-23 12:17:00,SELL,257.35,38,,{'RSI_5m': 39.642701778683275},-83.6
2024-10-23 13:30:00,BUY,262.15,38,9961.7,{'RSI_5m': 61.19141923088981},
2024-10-24 09:16:00,SELL,263.45,38,,{'RSI_5m': 9.230986908531522e-05},49.4
2024-10-24 09:17:00,BUY,264.3,37,9779.1,{'RSI_5m': 99.99981550929863},
2024-10-24 09:18:00,SELL,262.7,37,,{'RSI_5m': 4.102571959523486e-05},-59.2
2024-10-25 11:16:00,BUY,252.55,39,9849.45,{'RSI_5m': 61.010533853048656},
2024-10-28 09:15:00,SELL,251.5,39,,{'RSI_5m': 4.624862066540575e-23},-40.95
2024-10-28 09:26:00,BUY,252.35,39,9841.65,{'RSI_5m': 60.24328036721662},
2024-10-28 09:30:00,SELL,250.7,39,,{'RSI_5m': 32.147222641768295},-64.35
2024-10-28 10:44:00,BUY,252.1,39,9831.9,{'RSI_5m': 60.59338024019782},
2024-10-28 12:50:00,SELL,252.35,39,,{'RSI_5m': 38.83067293383318},9.75
2024-10-28 14:51:00,BUY,255.85,38,9722.3,{'RSI_5m': 60.184573985122434},
2024-10-28 15:19:00,SELL,253.4,38,,{'RSI_5m': 39.548538903018176},-93.1
2024-10-29 09:15:00,BUY,254.4,39,9921.6,{'RSI_5m': 99.9999166666927},
2024-10-29 09:16:00,SELL,253.75,39,,{'RSI_5m': 0.00022302333742826286},-25.35
2024-10-29 09:18:00,BUY,254.5,39,9925.5,{'RSI_5m': 99.99993055626628},
2024-10-29 09:54:00,SELL,253.3,39,,{'RSI_5m': 32.7307953725776},-46.8
2024-10-29 14:20:00,BUY,251.25,39,9798.75,{'RSI_5m': 61.79175640753846},
2024-10-30 09:15:00,SELL,246.75,39,,{'RSI_5m': 7.168800861074922e-06},-175.5
2024-10-30 11:57:00,BUY,248.5,39,9691.5,{'RSI_5m': 62.394171081478746},
2024-10-30 13:15:00,SELL,247.25,39,,{'RSI_5m': 39.95937380537138},-48.75
2024-10-31 09:15:00,BUY,248.4,39,9687.6,{'RSI_5m': 99.99994754442965},
2024-10-31 09:16:00,SELL,247.65,39,,{'RSI_5m': 0.0001512256639847176},-29.25
2024-10-31 09:17:00,BUY,248.15,39,9677.85,{'RSI_5m': 99.99989508899365},
2024-10-31 09:19:00,SELL,247.25,39,,{'RSI_5m': 5.81643547606357e-05},-35.1
2024-11-04 09:15:00,BUY,244.08,40,9763.2,{'RSI_5m': 100.0},
2024-11-04 11:06:00,SELL,241.72,40,,{'RSI_5m': 39.379611032163474},-94.4
2024-11-04 13:50:00,BUY,241.89,40,9675.6,{'RSI_5m': 63.1752723531344},
2024-11-05 09:15:00,SELL,242.55,40,,{'RSI_5m': 2.4134402502479117e-05},26.4
2024-11-05 09:17:00,BUY,244.34,40,9773.6,{'RSI_5m': 99.9996071560393},
2024-11-05 09:18:00,SELL,243.5,40,,{'RSI_5m': 5.470451633522343e-05},-33.6
2024-11-05 14:03:00,BUY,241.95,40,9678.0,{'RSI_5m': 64.02197857101145},
2024-11-05 15:18:00,SELL,241.18,40,,{'RSI_5m': 39.91168859503095},-30.8
2024-11-06 09:15:00,BUY,244.97,40,9798.8,{'RSI_5m': 99.99998687825247},
2024-11-06 13:12:00,SELL,252.65,40,,{'RSI_5m': 74.28098539089315},307.2
2024-11-06 13:13:00,BUY,252.22,39,9836.58,{'RSI_5m': 71.81920258325027},
2024-11-06 14:25:00,SELL,251.13,39,,{'RSI_5m': 39.03868788084809},-42.51
2024-11-06 14:49:00,BUY,254.66,38,9677.08,{'RSI_5m': 62.009888789652535},
2024-11-07 14:51:00,SELL,258.8,38,,{'RSI_5m': 36.68723827928279},157.32
2024-11-08 09:15:00,BUY,256.53,38,9748.14,{'RSI_5m': 99.99996500805037},
2024-11-08 09:16:00,SELL,254.77,38,,{'RSI_5m': 5.361321652446443e-05},-66.88
2024-11-08 09:17:00,BUY,255.01,38,9690.38,{'RSI_5m': 99.99464364415348},
2024-11-08 09:23:00,SELL,254.88,38,,{'RSI_5m': 37.89622861047485},-4.94
2024-11-08 09:25:00,BUY,255.83,38,9721.54,{'RSI_5m': 76.95545934976305},
2024-11-08 13:33:00,SELL,255.99,38,,{'RSI_5m': 37.78244531502344},6.08
